name,address,source,rating,reviews,positive_words,negative_words,prices,price,services,lat,lon
Патронажная служба,"Ленинский проспект, 42 к1-2-3",2GIS,4.9,430.0,16,4,False,,,55.702537,37.566957
"Legacy, пансионат для пожилых людей","улица Улофа Пальме, 1",2GIS,5.0,424.0,0,0,True,1300.0,Поддержка Для лежачих больных и пожилых с ограниченными возможностями гигиенический уход питание реабилитация после травм Проживание в комфортабельном номере,55.717812,37.511862
"Ритм, дом престарелых","Осоргино деревня, 159а",2GIS,0.0,0.0,0,0,False,,,55.635841,37.228388
SM-pension,"Садовая ул., 35А, ТЛПХ Подлипки, д. Малое Видное",Yandex,4.9,123.0,4,2,True,1650.0,Размещение в многоместном номере | Размещение в трехместном номере | Размещение в двухместном номере | Размещение в одноместном номере,55.574607,37.752645
Геронтологический центр Юго-западный филиал Геронтологический центр для ветеранов войны Коньково,"Профсоюзная ул., 140, корп. 6",Yandex,4.3,99.0,6,0,False,,,,
Столетник,"село Никулино, 70",Yandex,5.0,98.0,3,0,True,1550.0,"Пребывание самостоятельного постояльца | Инвалиды. Уход. Помощь в передвижении | Лежачие, требующие ухода постояльцы | Тяжёлые, лежачие постояльцы",,
Золотая пора,"Центральная ул., 2, д. Лугинино",Yandex,5.0,98.0,1,1,False,,,,
Академия Долголетия,"д. Глазынино, 35",Yandex,4.9,94.0,2,1,True,1700.0,Уход при болезни Альцгеймера | Уход при болезни Паркинсона у пожилых | Уход при деменции за пожилым человеком | Уход за маломобильными пожилыми | Уход за лежачими пожилыми людьми | Дом престарелых | Соляная комната | Реабилитация после перелома шейки бедра | Реабилитация после инсульта для пожилых | Реабилитация после инфаркта для пожилых | Осмотр врача-психиатра | Осмотр врача-гериатра,,
Vip-пенсионер,"Сиреневая ул., 26, село Тарасовка",Yandex,5.0,92.0,9,0,True,2300.0,Размещение в 4х местном номере | Размещение в 2х местном номере | Консультация с директором по телефону,55.955119,37.843852
Аннушка,"Парковая ул., 7, д. Мишуткино",Yandex,4.9,83.0,3,0,False,,,56.030532,35.963019
GreenDay,"посёлок Спартак, 4",Yandex,4.9,79.0,4,0,False,,,,
Ника,"ул. Светлая Поляна, 94",Yandex,5.0,79.0,9,0,True,1900.0,4-х местный номер | 3-х местный номер | 2-х местный номер | 1 местный номер,,
Опека,"ул. Габричевского, 5, корп. 8",Yandex,4.5,77.0,5,0,True,11000.0,"1-местное Комфорт | 1-местное ""Всё включено"" | 1-местное | 2-местное | 3-местное | 4-местное | 5-местное | Восстановление после перелома шейки бедра | Программа восстановительного лечения | Паллиативная помощь и выхаживание | АВП для пациентов с когнитивными нарушениями | АВП для пациентов с хронической сердечной недостаточностью | Восстановление после инсульта",55.81425,37.456596
Частный пансионат для пожилых SM-pension,"Новгородская ул., 49, Балашиха",Yandex,5.0,76.0,3,2,True,1650.0,Размещение в многоместном номере | Размещение в трехместном номере | Размещение в двухместном номере | Размещение в одноместном номере,55.803558,38.041329
Kartino Village Club,"д. Картино, 6В",Yandex,5.0,76.0,7,0,True,1800.0,"Проживание для самостоятельных людей. Одноместное размещение с учетом скидок | Проживание для самостоятельных людей. Двухместное размещение с учетом скидок | Проживание для самостоятельных людей. Трехместное размещение с учетом скидок | Проживание для самостоятельных людей. Четырехместное размещение с учетом скидок | Программа проживания «Нужен Помощник». Одноместное размещение | Программа проживания «Нужен Помощник». Двухместное размещение | Программа проживания «Нужен Помощник». Трехместное размещение | Программа проживания «Нужен Помощник». Четырехместное размещение | Программа проживания «Полный уход». Одноместное размещение | Программа проживания «Полный уход». Двухместное размещение | Программа проживания «Полный уход». Трехместное размещение | Программа проживания «Полный уход». Четырехместное размещение | Реабилитация после Ковид, после инсульта, после переломов.ов.",,
Сениор Групп,"ул. Константинова, 42, п. г. т. Малаховка",Yandex,4.8,73.0,4,1,True,,"Тест микробиоты с интерпретацией результата | Генетический тест с интерпретацией результата | Тест ""Полный геном"" с интерпретацией результата",55.65306,37.996911
Купава Социальный Гериатрический центр,"ул. Кирова, 23, Старая Купавна",Yandex,5.0,66.0,3,1,True,4000.0,Уход за больными Альцгеймером | Уход за больными деменцией | Уход за больными Паркинсоном | Уход за лежачими больными | Уход в послеоперационный период | Уход при онкозаболеваниях | Уход за больными диабетом | Уход за больными с неврологическими заболеваниями | Уход за больными с психическими расстройствами | Уход за слабовидящими и слепыми | Уход за больными шизофренией | Уход за инвалидами-колясочниками | Реабилитация после перенесенного COVID-19 | Восстановление после инсульта | Восстановление после инфаркта | Реабилитация после различных видов перелома | Культурно-досуговая программа | Контроль состояния здоровья | Гигиенический уход | 5-ти разовое питание | Первая группа | Вторая группа | Третья группа | ЛФК | Психологическая служба,55.799714,38.185193
Климовский дом-интернат для престарелых и инвалидов,"Серпуховская ул., 1Б, микрорайон Климовск, Подольск",Yandex,4.4,63.0,3,0,False,,,55.355973,37.536845
Океан милосердия,"СНТ Ручеёк, 653",Yandex,5.0,62.0,4,0,False,,,,
Теплые беседы,"Советская ул., 2/14, п. г. т. Ильинский, Ворота открываются автоматически",Yandex,4.4,59.0,4,0,True,2050.0,Проживание и отдых для самостоятельных пожилых людей | Пансионат для пожилых людей в подмосковье | Пансионат Раменское для пожилых | Пансионат для пожилых с медицинским уходом | Пансионат для пожилых одноместное размещение | Пансионат для пожилых лежачих больных | Пансионат для лежачих пожилых людей | Пансионат для пожилых людей лежачих больных | Пансионат для пожилых лежачих больных в подмосковье | Пансионат для пожилых людей с реабилитацией | Пансионат для пожилых людей с реабилитационным уклоном | Пансионат для пожилых с реабилитацией | Пансионат для пожилых с реабилитацией после травмы | Дом престарелых люберцы | Дом престарелых Люберцы | Пансионат для пожилых люберцы | Пансионат для пожилых Люберцы | Пансионат люберцы для пожилых | Пансионат Люберцы для пожилых | Пансионат для пожилых людей Люберцы | Пансионат для пожилых в Люберцах | Пансионат для пожилых после инсульта | Пансионат для пожилых людей после инсульта | Пансионат для пожилых с инсультом | Дом престарелых | Пансионат для пожилых людей в Подмосковье | Уход за пожилыми с деменцией и болезнью Альцгеймера | Пансионат для пожилых людей с деменцией | Пансионат для пожилых с деменцией | Пансионат для пожилых с деменцией в подмосковье | Пансионат для лежачих пожилых людей с деменцией | Пансионаты для пожилых лежачих с деменцией | Пансионаты для пожилых лежачих больных после инсульта | Пансионат для лежачих пожилых после инсульта | Пансионаты для пожилых с переломом шейки бедра | Пансионаты для пожилых после перелома шейки бедра | Пансионат для пожилых людей с Альцгеймера | Частный пансионат для пожилых с Альцгеймером | Пансионат для пожилых с болезнью Паркинсона | Пансионат для пожилых людей с Паркинсона | Пансионат для пожилых с деменцией Раменское | Пансионат для пожилых со старческой деменцией | Пансионат для пожилых с альцгеймера | Пансионаты для пожилых людей с болезнью Альцгеймера | Пансионат для слабовидящих пожилых людей | Пансионаты для слабовидящих пожилых | Пансионат для пожилых людей с инсультом | Дом престарелых в москве | Дом престарелых в Москве | Дом престарелых в подмосковье | Дом престарелых ильинский | Дом престарелых Ильинский | Пансионат для пожилых людей | Пансионат для пожилых людей люберцы | Проживание и уход для лежачих больных | Пансионаты для малоподвижных пожилых людей | Пансионат для больных пожилых людей | Пансионат для пожилых инвалидов | Пансионат для пожилых Быково | Пансионаты для пожилых в ВАО | Пансионат для пожилых людей в Московской области | Пансионаты для лежачих пожилых в Подмосковье | Пансионат для пожилых людей Раменский район | Пансионат для пожилых после инсульта Подмосковье | Пансионат для пожилых после инфаркта | Пансионат для пожилых в Раменском районе | Пансионат для пожилых с депрессией | Пансионат для пожилых людей с болезнью паркинсона | Пансионат для пожилых с Паркинсоном | Пансионат для слепых пожилых людей | Пансионат для пожилых с болезнью Альцгеймера | Частный пансионат для пожилых,55.921576,36.845178
Золотая Осень,"д. Орловка, МЖСК Искра, 16",Yandex,4.7,59.0,3,0,False,,,,
Доброта,"Центральная ул., 12, корп. 8, посёлок Александровка",Yandex,4.7,57.0,6,0,True,2000.0,"Номер со всеми удобствами для пожилых | Восстановление после ковида, инсульта, инфаркта, травм | Массаж",,
Опека,"ул. Лескова, 6Б",Yandex,4.5,53.0,5,0,True,11000.0,"1-местное ""Всё включено"" | 1-местное Комфорт | 1-местное | 2-местное | 3-местное | 4-местное | 5-местное | Восстановление после перелома шейки бедра | Программа восстановительного лечения | Паллиативная помощь и выхаживание | АВП для пациентов с когнитивными нарушениями | АВП для пациентов с хронической сердечной недостаточностью | Восстановление после инсульта",,
Троицк-1,"Лесная ул., 52, корп. 7А",Yandex,4.7,53.0,7,1,True,1200.0,"Уход и реабилитация после инфаркта/инсульта | Уход при деменции, Альцгеймера | Уход за лежачими больными 24/7",,
Забота,"Голицыно, квартал Южный, 11",Yandex,4.7,50.0,5,1,True,2450.0,Пансионат для больных Альцгеймера | Пансионат для больных деменцией | Пансионат для больных сахарным диабетом | Пансионат для инвалидов по зрению | Пансионат для инвалидов | Пансионат для пожилых после инсульта | Пансионат для лежачих больных | Пансионат для больных Паркинсоном2 | Уход за больными после перелома шейки бедра | Пансионат для пожилых после инфаркта | Дом престарелых | Пансионат для пожилых людей в Подмосковье | Пансионат для пожилых людей | Пансионат для инвалидов-колясочников | Уход за пожилыми людьми,55.60593,36.964086
Лосиный Остров,"Озёрная ул., 80, д. Супонево",Yandex,4.8,49.0,7,0,False,,,55.878602,37.945445
Золотая пора,"посёлок Мещерино, СНТ Диалог, 10",Yandex,5.0,46.0,5,1,False,,,55.500651,37.822639
