name,address,rating,reviews,rubrics,lat,lon
"Legacy, пансионат для пожилых людей","улица Улофа Пальме, 1",5.0,424.0,Дома престарелых,55.717812,37.511862
"Ритм, дом престарелых","Осоргино деревня, 159а",,220.0,Дома престарелых,55.635841,37.228388
"Опека Щукинский, пансионат","улица Габричевского, 5 к8",4.9,30.0,Дома престарелых,55.814275,37.456691
"Теплые беседы, пансионат для пожилых людей","Оранжерейная улица, 7",,30.0,Дома престарелых,55.718791,37.861792
"Опека, пансионат Опека Щукинский","улица Габричевского, 5 к10",4.9,29.0,Дома престарелых,55.815441,37.455045
"Опека Алтуфьевский, пансионат","улица Лескова, 6Б",4.6,27.0,Дома престарелых,55.896795,37.593452
"Идиллия, пансионат для пожилых людей","Большая Филёвская улица, 11",5.0,22.0,Дома престарелых,55.748984,37.502041
"Опека, Пансионат Опека Красногорский","Ивановское деревня, вл1 ст3",4.8,21.0,Дома престарелых,55.810654,37.300893
"Академия Долголетия, пансионат для пожилых людей","Бирюлёвская улица, 12 к3",5.0,20.0,Дома престарелых,55.59896,37.657946
"Академия Долголетия, пансионат для пожилых людей","улица Коккинаки, 3",5.0,17.0,Дома престарелых,55.804553,37.544598
"Бабушки и Дедушки, пансионат для пожилых","СНТ Круиз территория, 35",,15.0,Дома престарелых,55.628288,37.459478
"Доверие, пансионат для пожилых людей","Солнечная улица, 7",,15.0,Дома престарелых,55.649699,37.427542
"Академия Долголетия, пансионат для пожилых людей","Новая улица, 52",5.0,7.0,Дома престарелых,55.687162,37.369007
"Тропарево, социальный дом","улица Островитянова, 10 ст1",,3.0,Дома престарелых,55.639874,37.501314
"Опора, пансионат","Ярославское шоссе, 87",,3.0,Дома престарелых,55.909941,37.772814
"Лейкомед, пансионат","2-я Дубровская улица, 13 к1",,2.0,Дома престарелых,55.727144,37.672419
"100+, пансионат для пожилых людей","1-й Лучевой просек, 3",5.0,1.0,Дома престарелых,55.79573,37.663722
Геронтологический центр Западный,"Нежинская улица, 2",,1.0,Дома престарелых,55.717177,37.47357
"Северное Тушино, геронтологический центр","улица Вилиса Лациса, 2 к1",,1.0,Дома престарелых,55.86689,37.432429
"Гармония жизни, дом престарелых","улица Кандинского, 2",,1.0,Дома престарелых,55.722824,37.342347
"Доктор Лиза, дом милосердия","Новая Басманная улица, 26 к2",,,Дома престарелых,55.769423,37.666036
"Счастье, пансионат для пожилых","Столярный переулок, 18",,,Дома престарелых,55.764217,37.565188
"Забота, пансионат для пожилых людей","Марксистская улица, 34 к4",,,Дома престарелых,55.735349,37.66303
"Раменское, офис","Ленинский проспект, 42 к1-2-3",,,Дома престарелых,55.702537,37.566957
Патронажная служба,"Ленинский проспект, 42 к1-2-3",,,Дома престарелых,55.702537,37.566957
Свято-Спиридоньевская богадельня,"набережная Шитова, 4 к1",,,Дома престарелых,55.800509,37.731195
"Люблино, геронтологический центр","Ставропольская улица, 27а",,,Дома престарелых,55.684945,37.766255
"Вторая молодость, центр для пожилых людей","Игарский проезд, 9 к1",,,Дома престарелых,55.85764,37.641663
"Югозападный, геронтологический центр","улица Островитянова, 16 к5",,,Дома престарелых,55.633488,37.506691
"Дом Заботы, офис","Фармацевтический проезд, 3",,,Дома престарелых,55.833708,37.517023
"Левобережный, геронтологический центр","Правобережная улица, 4 к1",,,Дома престарелых,55.879481,37.454747
"Вторая молодость, Офис","Игарский проезд, 11",,,Дома престарелых,55.857793,37.64091
"Коньково, геронтологический центр","Профсоюзная улица, 140 к6",,,Дома престарелых,55.630299,37.504717
Геронтологический центр,"16-я Парковая улица, 16",,,Дома престарелых,55.800957,37.830341
"Аппассионата, пансионат для пожилых","улица Семашко, 6",,,Дома престарелых,55.926013,37.936048
"Академия Долголетия, пансионат для пожилых людей","Флотская улица, 76 к2",,,Дома престарелых,55.858995,37.514676
Услада жизни,"Солнечная улица, 6",,,Дома престарелых,56.006112,37.804296
"Линия жизни, пансионат для пожилых людей","Московская улица, 17",,,Дома престарелых,55.723702,37.362498
"Четыре сезона, частный дом престарелых","улица Ноздрюхина, 22",,,Дома престарелых,55.736133,37.351364
"Вековие, пансионат для пожилых","Амбулаторная улица, 80",,,Дома престарелых,55.713502,37.375124
"Теплота и забота, пансионат для пожилых людей","Шипиловская улица, 1",,,Дома престарелых,55.618212,37.697327
Радость Долголетия,"Шипиловская улица, 1",,,Дома престарелых,55.6177,37.696842
"Ангел, пансионат для пожилых людей","7-я Верхняя линия, 28",,,Дома престарелых,55.769442,37.889974
"Любавушка, пансионат","Разинское шоссе, 52",,,Дома престарелых,55.767867,37.925316
"Западный, геронтологический центр","улица 7-я Лазенки, 12 к1",,,Дома престарелых,55.660189,37.349142
Комплексный центр социального обслуживания и реабилитации Одинцовский,"территория Больницы, ст2",,,Дома престарелых,55.736002,37.336546
