title,url,rating,reviews,min_price_per_day,all_prices,services,dementia,alzheimer,rehab,bedridden
Пансионат Река жизни в Вялках,https://bookpansion.ru/pansionat/pansionat-reka-zhizni-v-vyalkakh,4.0,5,1000,от 30 000 ₽ | от 1 000 ₽,реабилитация | деменция | альцгеймер | круглосуточный уход | психолог | 5-разовое питание | прогулки | перелом,True,True,True,True
Пансионат «Стар-че»,https://bookpansion.ru/pansionat/star-che,4.7,10,1200,от 1 200 ₽ | от 36 000 ₽,реабилитация | альцгеймер | круглосуточный уход | лфк | 5-разовое питание | прогулки | инсульт | перелом,True,True,True,True
Пансионат для пожилых Пушкино,https://bookpansion.ru/pansionat/pansionat-dlya-pozhilykh-pushkino,4.8,4,1300,от 39 000 ₽ | от 1 300 ₽,круглосуточный уход | 5-разовое питание | прогулки | инсульт,True,False,True,True
Частный пансионат «Благо-Дать»,https://bookpansion.ru/pansionat/chastnyy-blago-dat,,15,1200,от 45000₽ | от 50000₽ | от 36000₽ | от 33000₽ | от 1 200 ₽ | от 40000₽ | от 36 000 ₽,альцгеймер | круглосуточный уход | 5-разовое питание | прогулки | инсульт,True,True,True,True
Пансионат  Мытищи,https://bookpansion.ru/pansionat/potral-mytischi,4.5,1,1300,от 39 000 ₽ | от 1 300 ₽,реабилитация | альцгеймер | круглосуточный уход | психолог | 5-разовое питание | прогулки | восстановление | инсульт,True,True,True,True
Пансионат Щелково Краснознаменское,https://bookpansion.ru/pansionat/schelkovo-krasnoznamenskoe,4.8,13,1040,от 54 000 ₽ | от 1500 ₽ | от 1140 ₽ | от 1100 ₽ | от 1600 ₽ | от 1200 ₽ | от 1400 ₽ | от 1 800 ₽ | от 1235 ₽ | от 1040 ₽ | от 1300 ₽,реабилитация | альцгеймер | сиделка | круглосуточный уход | лфк | 5-разовое питание | прогулки | восстановление | инсульт | перелом,True,True,True,True
Пансионат Раменское,https://bookpansion.ru/pansionat/ramenskoe,4.8,25,1300,от 1300 ₽ | от 1500 ₽ | от 1700 ₽ | от 57 000 ₽ | от 1600 ₽ | от 1400 ₽ | от 1 900 ₽,реабилитация | альцгеймер | сиделка | круглосуточный уход | диетолог | 5-разовое питание | прогулки | инсульт | перелом,True,True,True,True
Пансионат с реабилитацией «Доброта» в Кратово,https://bookpansion.ru/pansionat/reabilitacionno-vosstanovitelnyy-centr-kratovo,4.9,7,2500,от 3 500 ₽ | от 2500 руб | от 105 000 ₽ | от 3500 руб,реабилитация | альцгеймер | медицинский уход | круглосуточный уход | лфк | психолог | 5-разовое питание | прогулки | восстановление | инсульт | перелом,True,True,True,True
Пансионат Ховрино,https://bookpansion.ru/pansionat/khovrino,5.0,18,1040,от 54 000 ₽ | от 1500 ₽ | от 1140 ₽ | от 1100 ₽ | от 1600 ₽ | от 1200 ₽ | от 1400 ₽ | от 1 800 ₽ | от 1235 ₽ | от 1040 ₽ | от 1300 ₽,реабилитация | альцгеймер | круглосуточный уход | 5-разовое питание | прогулки | восстановление | инсульт | перелом,True,True,True,True
Пансионат Десна,https://bookpansion.ru/pansionat/desna,4.8,15,900,от 1000 ₽ | от 1500 ₽ | от 1140 ₽ | от 1100 ₽ | от 900 ₽ | от 990 ₽ | от 1080 ₽ | от 42 000 ₽ | от 1200 ₽ | от 1400 ₽ | от 1045 ₽ | от 950 ₽ | от 1300 ₽ | от 1 600 ₽,деменция | альцгеймер | круглосуточный уход | 5-разовое питание | прогулки | инсульт,True,True,True,True
Пансионат Федоскино,https://bookpansion.ru/pansionat/fedoskino,4.8,12,1040,от 54 000 ₽ | от 1500 ₽ | от 1140 ₽ | от 1100 ₽ | от 1600 ₽ | от 1200 ₽ | от 1400 ₽ | от 1 800 ₽ | от 1235 ₽ | от 1040 ₽ | от 1300 ₽,реабилитация | альцгеймер | круглосуточный уход | диетолог | 5-разовое питание | прогулки | инсульт | перелом,True,True,True,True
Реабилитационно-восстановительный центр «Доброта» Нагатино,https://bookpansion.ru/pansionat/dobrota-nagatino,4.7,15,5000,от 5 000 ₽ | от 150 000 ₽,реабилитация | альцгеймер | круглосуточный уход | лфк | массаж | психолог | 5-разовое питание | прогулки | восстановление | инсульт | перелом | капельницы,True,True,True,True
Пансионат «Вместе» г. Видное,https://bookpansion.ru/pansionat/vmeste-g-vidnoe,4.7,14,2000,от 2 000 ₽ | от 60 000 ₽,альцгеймер | круглосуточный уход | 5-разовое питание | прогулки | инсульт,True,True,True,True
Пансионат Life Pension в Истре,https://bookpansion.ru/pansionat/life-pension-v-istre,,17,1600,от 48 000 ₽ | от 1 600 ₽,реабилитация | круглосуточный уход | психолог | 5-разовое питание | прогулки | восстановление | инсульт,True,False,True,True
Пансионат Life Pension Химки,https://bookpansion.ru/pansionat/life-pension-khimki,,17,1600,от 48 000 ₽ | от 1 600 ₽,реабилитация | альцгеймер | круглосуточный уход | психолог | 5-разовое питание | прогулки | инсульт | перелом,True,True,True,True
