название,адрес,рейтинг,число отзывов,ссылка,кол-во по сети,цены,количество_услуг,положительных_слов,отрицательных_слов,пример_отзыва
Дружный Берег,"1-я Радужная ул., 17, село Сельцо",5.0,32,https://yandex.ru/maps/org/druzhny_bereg/231774658977/,2,,0,6,1,"Замечательное место! Моя мама находится в этом пансионате вторую неделю и очень довольна! 
""Хочу выразить искреннюю благодарность замечательной работнице пансионата «Дружный берег», моей дорогой сидел"
Пансионат для пожилых людей Вгармонии,"Бронницы, коттеджный посёлок Бронницы, 40",4.4,24,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_lyudey_vgarmonii/158337890011/,1,Проживание в пансионате: 1000; Уход за пожилыми постояльцами: 1100; Лечебная физическая культура: 1500; Уход за лежачими: 1300; Реабилитация после инсульта: 1300; Реабилитация после замены тазобедренного сустава: 1900,6,7,1,"Спасибо большое труженикам пансионата в Гармонии, Оксане Владимировне, медсестре Алёне, и всем сотрудникам, всегда расскажут, успокоят, уход очень хороший, а сколько там цветов, чисто..... Муж 92года "
Аннушка,"Парковая ул., 7, д. Мишуткино",4.9,83,https://yandex.ru/maps/org/annushka/1755402780/,1,,0,3,0,"Хочу выразить признательность и уважение персоналу пансионата Аннушка, за терпение и заботу о моей матушке. Моя мама ( 86 лет) - у нее альцгеймер и тяжелая деменция- она очень беспокойная, живет здесь"
Любимые люди,"Планерная ул., 35, микрорайон Авиационный, Домодедово",4.4,8,https://yandex.ru/maps/org/lyubimyye_lyudi/13480541967/,1,,0,2,0,"Долго выбирали место для проживания мамы с деменцией. По рекомендации остановились на пансионате ""Любимые люди"" и ни разу не пожалели. Это прекрасное место, где заботятся о здоровье и комфорте наших б"
Kartino Village Club,"д. Картино, 6В",5.0,76,https://yandex.ru/maps/org/kartino_village_club/68905867502/,1,"Проживание для самостоятельных людей. Одноместное размещение с учетом скидок: 1800; Проживание для самостоятельных людей. Двухместное размещение с учетом скидок: 1800; Проживание для самостоятельных людей. Трехместное размещение с учетом скидок: 1600; Проживание для самостоятельных людей. Четырехместное размещение с учетом скидок: 1400; Программа проживания «Нужен Помощник». Одноместное размещение: 1600; Программа проживания «Нужен Помощник». Двухместное размещение: 2000; Программа проживания «Нужен Помощник». Трехместное размещение: 1800; Программа проживания «Нужен Помощник». Четырехместное размещение: 1600; Программа проживания «Полный уход». Одноместное размещение: 1900; Программа проживания «Полный уход». Двухместное размещение: 1900; Программа проживания «Полный уход». Трехместное размещение: 1800; Программа проживания «Полный уход». Четырехместное размещение: 1800; Реабилитация после Ковид, после инсульта, после переломов.ов.: 1800",13,7,0,"Прекрасный пансионат! Уютный, комфортный, везде чистота, сотрудники - компетентные и внимательные люди!
У моей мамы деменция. Со временем стало понятно, что обеспечить необходимый уход пожилому челове"
Пансионат для пожилых Бабушки и Дедушки,"д. Дудкино, 35",4.9,45,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_babushki_i_dedushki/106304400409/,1,Сиделка для пожилого человека: 1600; Уход за лежачими больными: 1900; Уход за больными: 1600; Пансионат для людей с деменцией: 2000; Пансионат для больных Альцгеймера: 2000; Уход за инвалидами: 1600,6,6,0,"Пансионат очень красивый, располагает приятной атмосферой и доброжелательностью! Очень внимательный персонал, чисто и уютно, а это самое главное для пожилых людей!🙏🏻"
SM-pension,"Садовая ул., 35А, ТЛПХ Подлипки, д. Малое Видное",4.9,123,https://yandex.ru/maps/org/sm_pension/134779935932/,3,Размещение в многоместном номере: 1500; Размещение в трехместном номере: 1500; Размещение в двухместном номере: 1800; Размещение в одноместном номере: 2500,4,4,2,"Благодарим весь коллектив за уход за нашей тетей. Привезли ее в тяжелом состоянии, сейчас она чувствует себя лучше, окрепла, стала улыбаться. Персонал очень доброжелательный, к каждому индивидуальный "
Теплые беседы,"д. Ащерино, 2/4, Ворота открываются по звонку",4.7,45,https://yandex.ru/maps/org/teplyye_besedy/1454189386/,5,Пансионат для пожилых развилка: 2150; Пансионат для пожилых развилка: 1950; Пансионат для пожилых развилка: 2150; Пансионат для пожилых развилка: 2100; Ащерино пансионат для пожилых: 2050; Ащерино пансионат для пожилых: 2400; Ащерино пансионат для пожилых: 1850; Пансионат для пожилых ащерино: 2150; Пансионат для пожилых ащерино: 1950; Пансионат для пожилых ащерино: 2400; Пансионат для пожилых видное развилка: 2050; Пансионат для пожилых видное развилка: 2050; Пансионат для пожилых видное развилка: 2200; Ащерино пансионат для пожилых: 2600; Ащерино пансионат для пожилых: 2500; Дом престарелых: 2100; Дом престарелых: 2300; Пансионат для пожилых ащерино: 1950; Пансионат для пожилых ащерино: 2300; Пансионат для пожилых людей в подмосковье: 2200; Пансионат для пожилых людей в Подмосковье: 2150; Пансионат для пожилых развилка слобода ленинский район: 2300; Пансионат для пожилых развилка слобода ленинский район: 2600; Ащерино пансионат для пожилых: 1950; Ащерино пансионат для пожилых: 2100; Ащерино пансионат для пожилых: 2050; Ащерино пансионат для пожилых: 2000; Ащерино пансионат для пожилых: 2200; Ащерино пансионат для пожилых: 2700; Дом престарелых: 2400; Дом престарелых: 2500; Дом престарелых: 2200; Дом престарелых: 2150; Дом престарелых в москве: 2100; Дом престарелых в москве: 2150; Дом престарелых в Москве: 2100; Дом престарелых в москве: 2100; Дом престарелых в москве: 2300; Дом престарелых в подмосковье: 2100; Дом престарелых в подмосковье: 2250; Дом престарелых в подмосковье: 2000; Пансионат для пожилых Ащерино: 1950; Пансионат для пожилых Ащерино: 2100; Пансионат для пожилых Ащерино: 2700; Пансионат для пожилых ащерино: 2500; Пансионат для пожилых Ащерино: 2400; Пансионат для пожилых Ащерино: 2600; Пансионат для пожилых видное развилка: 2200; Пансионат для пожилых Видное Развилка: 2300; Пансионат для пожилых Видное Развилка: 2200; Пансионат для пожилых видное развилка: 2600; Пансионат для пожилых видное развилка: 2200; Пансионат для пожилых Видное Развилка: 2500; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2300; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей в Подмосковье: 2300; Пансионат для пожилых людей в подмосковье: 2400; Пансионат для пожилых людей в подмосковье: 1950; Пансионат для пожилых Развилка: 1750; Пансионат для пожилых Развилка: 2200; Пансионат для пожилых развилка: 2100; Пансионат для пожилых Развилка: 2600; Пансионат для пожилых Развилка: 2800; Пансионат для пожилых развилка слобода ленинский район: 2400; Пансионат для пожилых Развилка Слобода Ленинский район: 2400; Пансионат для пожилых развилка слобода ленинский район: 2300; Пансионат для пожилых развилка Слобода Ленинский район: 2300; Пансионат для пожилых развилка слобода ленинский район: 2150; Пансионат для пожилых развилка Слобода Ленинский район: 2600; Пансионат для пожилых развилка слобода ленинский район: 2150; Пансионат для пожилых Развилка Слобода Ленинский район: 2600; Уход за пожилыми с деменцией и болезнью Альцгеймера: 1600; Уход за лежачими больными: 1600; Уход за самостоятельными пожилыми людьми: 1400; Частный пансионат для пожилых: 2200; Частный пансионат для пожилых: 2400; Частный пансионат для пожилых: 2250; Частный пансионат для пожилых: 1900,81,7,0,"Живем тут второй год. Мама привыкла к режиму, ей очень нравятся занятия с аниматорами. Мы видим, как важно для неё общаться и быть среди людей своего возраста. Спасибо Теплым беседам за помощь и добро"
Климовский дом-интернат для престарелых и инвалидов,"Серпуховская ул., 1Б, микрорайон Климовск, Подольск",4.4,63,https://yandex.ru/maps/org/klimovskiy_dom_internat_dlya_prestarelykh_i_invalidov/1003269927/,1,,0,3,0,"Недаано в силу обстоятельств отправила свою тетю проживать в пансионат
""Подольский"". Через некоторое время приехала навестить и чему приятно была удивлена: ухоженная ,цветущая территория, в холлах на "
Океан милосердия,"СНТ Ручеёк, 653",5.0,62,https://yandex.ru/maps/org/okean_miloserdiya/102378849142/,1,,0,4,0,"Спасибо всем сотрудникам пансионата за заботу о моем отце, за внимание и терпение. 
С пожилыми людьми иногда бывает очень тяжело, я не представляю себе как бы справлялся без вашей помощи…"
